user_id,name,age,gender,city,registration_date,age_scaled,avg_monthly_spend,purchase_frequency,days_since_last_purchase,total_spend_P001,total_spend_P002,total_spend_P003,total_spend_P004,total_spend_P005,total_spend_P006,total_spend_P007,total_spend_P008,total_spend_P009,total_spend_P010,total_spend_P011,total_spend_P012,total_spend_P013,total_spend_P014,total_spend_P015,total_spend_P016,total_spend_P017,total_spend_P018,total_spend_P019,total_spend_P020,total_spend_P021,total_spend_P022,total_spend_P023,total_spend_P024,total_spend_P025,total_spend_P026,total_spend_P027,total_spend_P028,total_spend_P029,total_spend_P030,total_spend_P031,total_spend_P032,total_spend_P033,total_spend_P034,total_spend_P035,total_spend_P036,total_spend_P037,total_spend_P038,total_spend_P039,total_spend_P040,total_spend_P041,total_spend_P042,total_spend_P043,total_spend_P044,total_spend_P045,total_spend_P046,total_spend_P047,total_spend_P048,total_spend_P049,total_spend_P050,transaction_id,product_id,amount,date,day,month,year,payment_type_Credit Card,payment_type_Debit Card,payment_type_Net Banking,payment_type_UPI,payment_type_Wallet,spending_group,amount_scaled,year_month
U0001,Vihaan Sharma,35.0,2,Jaipur,2022-09-08,0.625,77.47333333333334,3,438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T000237,P040,145.06,2024-05-07,7,5,2024,0,0,0,1,0,High,2.1904426938736234,2024-05
U0001,Vihaan Sharma,35.0,2,Jaipur,2022-09-08,0.625,77.47333333333334,3,438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T000629,P014,42.43,2023-06-09,9,6,2023,0,0,1,0,0,Low,-0.6333021679167681,2023-06
U0001,Vihaan Sharma,35.0,2,Jaipur,2022-09-08,0.625,77.47333333333334,3,438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T000960,P022,44.93,2024-08-20,20,8,2024,0,0,0,1,0,Medium,-0.5645175810077164,2024-08
U0002,Sai Reddy,30.0,2,Hyderabad,2023-11-24,0.41666666666666674,129.68,6,553,0.0,0.0,63.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.34,0.0,0.0,32.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.54,0.0,45.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.46,0.0,0.0,0.0,0.0,T000153,P014,91.34,2024-03-08,8,3,2024,0,0,0,1,0,High,0.71239949037192,2024-03
U0002,Sai Reddy,30.0,2,Hyderabad,2023-11-24,0.41666666666666674,129.68,6,553,0.0,0.0,63.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.34,0.0,0.0,32.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.54,0.0,45.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.46,0.0,0.0,0.0,0.0,T000390,P017,32.67,2024-04-27,27,4,2024,0,0,1,0,0,Low,-0.901837195209706,2024-04
U0002,Sai Reddy,30.0,2,Hyderabad,2023-11-24,0.41666666666666674,129.68,6,553,0.0,0.0,63.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.34,0.0,0.0,32.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.54,0.0,45.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.46,0.0,0.0,0.0,0.0,T000567,P046,53.46,2024-02-26,26,2,2024,0,1,0,0,0,Medium,-0.32982457047403185,2024-02
U0002,Sai Reddy,30.0,2,Hyderabad,2023-11-24,0.41666666666666674,129.68,6,553,0.0,0.0,63.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.34,0.0,0.0,32.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.54,0.0,45.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.46,0.0,0.0,0.0,0.0,T000693,P027,103.54,2024-04-22,22,4,2024,1,0,0,0,0,High,1.0480682744880925,2024-04
U0002,Sai Reddy,30.0,2,Hyderabad,2023-11-24,0.41666666666666674,129.68,6,553,0.0,0.0,63.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.34,0.0,0.0,32.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.54,0.0,45.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.46,0.0,0.0,0.0,0.0,T000883,P029,45.02,2024-03-04,4,3,2024,0,0,0,1,0,Medium,-0.5620413358789904,2024-03
U0002,Sai Reddy,30.0,2,Hyderabad,2023-11-24,0.41666666666666674,129.68,6,553,0.0,0.0,63.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.34,0.0,0.0,32.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.54,0.0,45.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.46,0.0,0.0,0.0,0.0,T000888,P003,63.01,2024-02-13,13,2,2024,0,0,0,0,0,Medium,-0.06706744848145435,2024-02
U0003,Aarohi Gupta,37.0,2,Indore,2022-02-02,0.7083333333333333,40.597500000000004,4,0,24.37,0.0,0.0,0.0,0.0,0.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,44.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T000473,P014,44.45,2025-07-22,22,7,2025,0,0,0,0,0,Medium,-0.5777242216942542,2025-07
