trip_id,rider_id,zone,distance_km,duration_min,fare_amount,payment_mode,ride_date,surge_flag,hour,day_of_week,month,fare_amount_log,distance_km_log,duration_min_sqrt,distance_km_std,duration_min_std,fare_amount_std,distance_km_minmax,duration_min_minmax,fare_amount_minmax,total_rides_x,avg_ride_distance,avg_ride_fare,is_peak_hour,signup_date_x,days_since_signup,cancelled_rides_x,ride_cancellation_rate,name,age,gender,city,signup_date_y,total_rides_y,cancelled_rides_y,avg_rating,gender_encoded,ride_frequency
T00001,R0037,Zone_10,11.83,74.59,104.88,Cash,2023-11-13,0,0,Monday,November,4.662306377358901,2.551786178627545,8.636550237218563,0.8051118769089531,0.3532394314046236,-0.34409411763770487,0.4570433436532508,0.3703703703703704,0.35232515068862175,489.0,0.024192229038854807,0.21447852760736194,0,2020-11-21,2120,6.0,0.012269938650306749,Aadhya Iyer,32.0,Other,Ahmedabad,2020-11-21,489.0,6.0,3.36,2,High
T00002,R0104,Zone_9,3.86,35.59,40.48,Cash,2023-07-28,0,0,Friday,July,3.7252113833613265,1.5810384379124023,5.965735495309862,-0.985983272107777,-0.7309489956068974,-1.1532385083343808,0.14860681114551083,0.1762246117084827,0.1354682291140519,328.0,0.01176829268292683,0.12341463414634145,0,2021-05-27,1933,1.0,0.003048780487804878,Diya Gupta,52.0,Male,Kolkata,2021-05-27,328.0,1.0,3.7,1,High
T00003,R0045,Zone_8,4.7,31.03,46.39,Cash,2024-01-14,0,0,Sunday,January,3.858411235979497,1.7404661748405046,5.570457790882182,-0.7972103831273435,-0.8577156424574752,-1.0789831768279001,0.18111455108359134,0.15352449223416964,0.1553692292150722,100.0,0.047,0.4639,0,2023-07-12,1157,16.0,0.16,Saanvi Iyer,34.0,Other,Ahmedabad,2023-07-12,100.0,16.0,4.88,2,Low
T00004,R0089,Zone_2,11.06,59.48,257.64,Cash,2023-12-13,0,0,Wednesday,December,5.555437133417177,2.4898941912990393,7.712327793863536,0.6320700620102228,-0.06681408480419919,1.575236583027267,0.4272445820433437,0.29515133412982875,0.8667205441627099,308.0,0.03590909090909091,0.8364935064935064,0,2022-09-21,1451,6.0,0.01948051948051948,Saanvi Reddy,48.0,Other,Surat,2022-09-21,308.0,6.0,3.91,2,Med
T00005,R0003,Zone_5,7.28,67.59,72.74,UPI,2023-03-15,0,0,Wednesday,March,4.300545392805998,2.1138429683971687,8.221313763626833,-0.21740793840172704,0.15864150860768395,-0.7479124517524744,0.28095975232198145,0.3355236957387495,0.24409873051149944,45.0,0.16177777777777777,1.6164444444444444,0,2023-05-04,1226,9.0,0.2,Kavya Reddy,34.0,Male,Pune,2023-05-04,45.0,9.0,3.76,1,Low
T00006,R0255,Zone_2,14.58,80.74,282.52,UPI,2024-02-10,0,0,Saturday,February,5.647282667416716,2.7459880404426023,8.985543945694106,1.4231183586901335,0.5242076064333632,1.8878377078802686,0.563467492260062,0.40098566308243727,0.9505000505101524,475.0,0.030694736842105264,0.594778947368421,0,2021-07-06,1893,42.0,0.08842105263157894,Reyansh Sharma,37.0,Female,Bengaluru,2021-07-06,475.0,42.0,3.12,0,High
T00007,R0224,Zone_4,4.48,40.07,58.38,Credit Card,2023-08-21,0,0,Monday,August,4.083957469335614,1.7011051009599243,6.330086887239385,-0.8466509016698379,-0.6064063250168561,-0.9283365736531618,0.17260061919504646,0.19852648347272003,0.19574367781257365,200.0,0.022400000000000003,0.2919,0,2020-08-04,2229,1.0,0.005,Ishaan Sharma,29.0,Female,Ahmedabad,2020-08-04,200.0,1.0,4.31,0,Med
T00008,R0039,Zone_3,11.75,96.11,102.35,Wallet,2024-03-10,0,0,Sunday,March,4.638121286127777,2.545531271604435,9.803570778037969,0.7871335065298642,0.9514890454889294,-0.3758819329865029,0.45394736842105265,0.47749900438072485,0.3438057716267636,190.0,0.06184210526315789,0.5386842105263158,0,2023-11-18,1028,14.0,0.07368421052631578,Aadhya Iyer,24.0,Male,Chennai,2023-11-18,190.0,14.0,4.2,1,Med
T00009,R0223,Zone_5,9.71,66.61,175.75,Credit Card,2024-05-20,0,0,Monday,May,5.174736304776682,2.3711778844596574,8.161494961096281,0.3286850618630979,0.1313977994161123,0.5463416427454227,0.37500000000000006,0.33064516129032256,0.5909687847257299,158.0,0.06145569620253165,1.1123417721518987,0,2019-11-29,2478,10.0,0.06329113924050633,Meera Ghosh,30.0,Female,Surat,2019-11-29,158.0,10.0,4.04,0,Low
T00010,R0236,Zone_5,7.37,51.09,98.34,UPI,2023-03-01,0,0,Wednesday,March,4.598548309679204,2.124653884501384,7.147726911403373,-0.19718227172525207,-0.30005359512795954,-0.4262649920966529,0.28444272445820434,0.2533851055356432,0.3303027241808937,61.0,0.12081967213114754,1.6121311475409836,0,2020-08-10,2223,1.0,0.01639344262295082,Arjun Gupta,28.0,Male,Ahmedabad,2020-08-10,61.0,1.0,3.36,1,Low
T00011,R0191,Zone_10,13.88,88.3,172.04,Credit Card,2023-09-09,0,0,Saturday,September,5.153522781644804,2.700018029404946,9.396807968666806,1.265807617873106,0.7343733630540581,0.49972788980311417,0.5363777089783283,0.43862007168458783,0.5784759403306731,87.0,0.15954022988505748,1.977471264367816,0,2020-08-14,2219,6.0,0.06896551724137931,Meera Gupta,33.0,Other,Surat,2020-08-14,87.0,6.0,4.56,2,Low
T00012,R0199,Zone_1,11.4,64.9,139.35,Wallet,2023-12-15,0,0,Friday,December,4.9441393028078915,2.517696472610991,8.056053624449133,0.7084781361213505,0.08386030684714577,0.08899916104730156,0.4404024767801858,0.3221326164874552,0.46839748122705993,344.0,0.03313953488372093,0.40508720930232556,0,2021-08-03,1865,27.0,0.07848837209302326,Aarav Das,29.0,Male,Ahmedabad,2021-08-03,344.0,27.0,3.91,1,High
T00013,R0248,Zone_6,2.98,18.82,37.95,Wallet,2023-12-12,0,0,Tuesday,December,3.6622787723167574,1.3812818192963463,4.338202392696772,-1.1837453462777545,-1.1971500192218514,-1.1850263236831786,0.11455108359133129,0.09274193548387097,0.1269488500521938,104.0,0.028653846153846155,0.3649038461538462,0,2021-10-24,1783,12.0,0.11538461538461539,Vivaan Ghosh,18.0,Female,Chennai,2021-10-24,104.0,12.0,3.65,0,Low
T00014,R0300,Zone_2,11.2,70.93,249.44,Cash,2024-08-10,0,0,Saturday,August,5.52321937087711,2.501435951739211,8.421995013059554,0.6635322101736281,0.25149251748508095,1.472208881106262,0.4326625386996904,0.3521505376344086,0.8391083274404821,291.0,0.03848797250859106,0.8571821305841925,0,2023-07-08,1161,7.0,0.024054982817869417,Saanvi Iyer,38.0,Female,Kolkata,2023-07-08,291.0,7.0,3.67,0,Med
T00015,R0270,Zone_10,14.87,91.83,265.53,Credit Card,2023-08-24,0,0,Thursday,August,5.585486807626805,2.7644305345383176,9.582797086446107,1.4882899513143306,0.8325063155502291,1.6743693352415026,0.5746904024767802,0.45619275189167663,0.8932888843990974,455.0,0.03268131868131868,0.5835824175824175,0,2022-01-02,1713,64.0,0.14065934065934066,Aadhya Reddy,35.0,Male,Hyderabad,2022-01-02,455.0,64.0,3.08,1,High
